epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.07423999905586243,4.540444850921631,0.001,0.08269999921321869,4.318601131439209
1,0.18318000435829163,3.6976640224456787,0.001,0.16279999911785126,3.8885085582733154
2,0.25543999671936035,3.2806003093719482,0.001,0.22759999334812164,3.4677562713623047
3,0.31106001138687134,2.986877918243408,0.001,0.257099986076355,3.3322441577911377
4,0.3550400137901306,2.7567055225372314,0.001,0.2442999929189682,3.4837918281555176
5,0.39871999621391296,2.562009572982788,0.001,0.28859999775886536,3.2231483459472656
6,0.43004000186920166,2.4040586948394775,0.001,0.31200000643730164,3.0369765758514404
7,0.4639799892902374,2.25807523727417,0.001,0.2849000096321106,3.3210527896881104
8,0.4936000108718872,2.1389641761779785,0.001,0.35830000042915344,2.898437023162842
9,0.516040027141571,2.029832124710083,0.001,0.35339999198913574,2.8566431999206543
10,0.5413399934768677,1.9247705936431885,0.001,0.35190001130104065,2.9540586471557617
11,0.5647000074386597,1.8323684930801392,0.001,0.3206000030040741,3.3194315433502197
12,0.588100016117096,1.7478468418121338,0.001,0.38659998774528503,2.7660391330718994
13,0.609499990940094,1.6584227085113525,0.001,0.3750999867916107,2.9264612197875977
14,0.6313199996948242,1.582395315170288,0.001,0.37619999051094055,2.8954946994781494
15,0.6515600085258484,1.5042709112167358,0.001,0.3723999857902527,3.073941230773926
16,0.6704400181770325,1.4387907981872559,0.001,0.3594000041484833,3.1057252883911133
17,0.6858199834823608,1.37490713596344,0.0003162278,0.36169999837875366,3.2431418895721436
18,0.7013400197029114,1.3222278356552124,0.001,0.3635999858379364,3.347651481628418
19,0.7213799953460693,1.252109169960022,0.001,0.36469998955726624,3.2496583461761475
20,0.7329599857330322,1.2051962614059448,0.001,0.3853999972343445,3.205301284790039
21,0.7422000169754028,1.1758531332015991,0.001,0.3765000104904175,3.282966375350952
22,0.7558599710464478,1.1223798990249634,0.0003162278,0.34209999442100525,3.8691914081573486
23,0.7724999785423279,1.078835368156433,0.001,0.36059999465942383,3.515489101409912
24,0.7822200059890747,1.0425832271575928,0.001,0.35530000925064087,3.8002030849456787
25,0.7907199859619141,1.0120253562927246,0.001,0.3555999994277954,3.834195375442505
26,0.8017799854278564,0.9757609367370605,0.001,0.34779998660087585,4.000114440917969
27,0.8027200102806091,0.9698598384857178,0.0003162278,0.3621000051498413,3.7616477012634277
28,0.8211600184440613,0.9181249141693115,0.001,0.35519999265670776,3.835326671600342
29,0.8207399845123291,0.9163922667503357,0.001,0.36820000410079956,3.695420980453491
30,0.8232600092887878,0.9070758819580078,0.001,0.3549000024795532,4.095180511474609
31,0.8366199731826782,0.8721959590911865,0.001,0.34049999713897705,4.346367835998535
32,0.8379999995231628,0.8628103733062744,0.0003162278,0.3407000005245209,4.071727752685547
33,0.8454800248146057,0.8461883068084717,0.001,0.34860000014305115,4.4294257164001465
34,0.8467199802398682,0.8378750085830688,0.001,0.34869998693466187,4.570086479187012
35,0.8541399836540222,0.8123576641082764,0.001,0.3659000098705292,4.092824935913086
36,0.8617799878120422,0.7941766977310181,0.001,0.37860000133514404,4.004234790802002
37,0.8607000112533569,0.7967848181724548,0.0003162278,0.37220001220703125,4.2060041427612305
38,0.8697800040245056,0.7702510356903076,0.001,0.38530001044273376,3.958925724029541
39,0.8709400296211243,0.7700644731521606,0.001,0.3614000082015991,4.409303665161133
40,0.8659999966621399,0.7882933616638184,0.001,0.3465999960899353,4.557544708251953
41,0.8625400066375732,0.7987467050552368,0.001,0.35260000824928284,4.7606611251831055
42,0.8743600249290466,0.7597327828407288,0.0003162278,0.3537999987602234,4.619003772735596
43,0.8855000138282776,0.7361165881156921,0.001,0.34139999747276306,4.720798492431641
44,0.8755599856376648,0.7583953142166138,0.001,0.36730000376701355,4.6551008224487305
45,0.8751800060272217,0.7619158029556274,0.001,0.36059999465942383,4.769036769866943
46,0.8768799901008606,0.7573322057723999,0.001,0.3723999857902527,4.484747886657715
47,0.8827999830245972,0.74263596534729,0.0003162278,0.3646000027656555,4.532972812652588
48,0.8881199955940247,0.7254331111907959,0.001,0.35269999504089355,4.903262138366699
49,0.8867599964141846,0.7306384444236755,0.001,0.36730000376701355,4.381069183349609
50,0.8870599865913391,0.7320950031280518,0.001,0.3515999913215637,4.863166332244873
51,0.8863199949264526,0.7337310910224915,0.001,0.3662000000476837,4.692802906036377
52,0.8861600160598755,0.7310925126075745,0.0003162278,0.3594000041484833,4.80369758605957
53,0.8898199796676636,0.7180495858192444,0.001,0.37389999628067017,4.836143970489502
54,0.8936799764633179,0.7118801474571228,0.001,0.351500004529953,5.010985374450684
55,0.8959800004959106,0.7050352096557617,0.001,0.3626999855041504,4.870905876159668
56,0.8910800218582153,0.7227786779403687,0.001,0.3776000142097473,4.432585716247559
57,0.8893200159072876,0.7228640913963318,0.0003162278,0.36809998750686646,4.698119640350342
58,0.8910199999809265,0.7168868780136108,0.001,0.37369999289512634,4.7715535163879395
59,0.8957800269126892,0.7020202875137329,0.001,0.3799999952316284,4.702053070068359
60,0.8974000215530396,0.6989461183547974,0.001,0.337799996137619,5.21530294418335
61,0.8992800116539001,0.7000651359558105,0.001,0.3736000061035156,4.772546291351318
62,0.8950999975204468,0.7090147137641907,0.0003162278,0.3476000130176544,5.270839214324951
