epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.44251999258995056;1.6670740842819214;0.001;0.3783000111579895;1.8358702659606934
1;0.5700799822807312;1.3182718753814697;0.001;0.5515000224113464;1.398849368095398
2;0.6296799778938293;1.1604814529418945;0.001;0.5479999780654907;1.4005388021469116
3;0.6733199954032898;1.041223168373108;0.001;0.6043999791145325;1.226957082748413
4;0.7082200050354004;0.9469771385192871;0.001;0.6373000144958496;1.144114375114441
5;0.7371199727058411;0.8672274351119995;0.001;0.6385999917984009;1.1454851627349854
6;0.7612000107765198;0.7981858849525452;0.001;0.6793000102043152;1.075402855873108
7;0.7843800187110901;0.7400986552238464;0.001;0.6628000140190125;1.1525901556015015
8;0.8055800199508667;0.6823354959487915;0.001;0.6776000261306763;1.0928622484207153
9;0.8200200200080872;0.637133777141571;0.001;0.6909000277519226;1.0463858842849731
10;0.8362399935722351;0.5920888185501099;0.001;0.6444000005722046;1.2066707611083984
11;0.851580023765564;0.5521150231361389;0.001;0.644599974155426;1.379814863204956
12;0.868120014667511;0.510575532913208;0.001;0.573199987411499;1.9998555183410645
13;0.8748800158500671;0.4851367473602295;0.001;0.6310999989509583;1.5469717979431152
14;0.8894000053405762;0.44772058725357056;0.0003162278;0.6208000183105469;1.560210108757019
15;0.8954399824142456;0.43056926131248474;0.001;0.6406999826431274;1.4792919158935547
16;0.9071000218391418;0.4021994173526764;0.001;0.6597999930381775;1.39828622341156
17;0.9133399724960327;0.3811648190021515;0.001;0.6550999879837036;1.4891490936279297
18;0.9223200082778931;0.360641747713089;0.001;0.6739000082015991;1.4527580738067627
19;0.9248800277709961;0.35044780373573303;0.0003162278;0.6740000247955322;1.5726970434188843
20;0.9319999814033508;0.33396849036216736;0.001;0.6072999835014343;1.8962072134017944
21;0.9350600242614746;0.32359206676483154;0.001;0.588100016117096;2.261723756790161
22;0.9377800226211548;0.314250648021698;0.001;0.661899983882904;1.6409271955490112
23;0.9424399733543396;0.30692222714424133;0.001;0.6534000039100647;1.6987078189849854
24;0.9479600191116333;0.2932794392108917;0.0003162278;0.6347000002861023;1.8617815971374512
25;0.9445000290870667;0.2978844940662384;0.001;0.6603000164031982;1.7604854106903076
26;0.9474200010299683;0.29283571243286133;0.001;0.6812000274658203;1.686111569404602
27;0.9495999813079834;0.2877495288848877;0.001;0.6456999778747559;2.159179210662842
28;0.950980007648468;0.28324201703071594;0.001;0.6157000064849854;2.3812806606292725
29;0.9525399804115295;0.2782781720161438;0.0003162278;0.667900025844574;1.807020902633667
30;0.9565600156784058;0.26940563321113586;0.001;0.6883000135421753;1.7817790508270264
31;0.9542400240898132;0.27823227643966675;0.001;0.6462000012397766;2.1112873554229736
32;0.9564800262451172;0.27097323536872864;0.001;0.5688999891281128;2.759632110595703
33;0.9617999792098999;0.26306238770484924;0.001;0.6658999919891357;1.8358136415481567
34;0.9557999968528748;0.2770243287086487;0.0003162278;0.65420001745224;2.1122775077819824
35;0.9571999907493591;0.27163687348365784;0.001;0.6686000227928162;1.862941026687622
36;0.9644200205802917;0.2539843022823334;0.001;0.6746000051498413;1.9786603450775146
37;0.958840012550354;0.26708391308784485;0.001;0.6152999997138977;2.3546195030212402
38;0.9610400199890137;0.2621299624443054;0.001;0.6571000218391418;2.1196086406707764
39;0.9605200290679932;0.26447880268096924;0.0003162278;0.685699999332428;1.856927514076233
40;0.9619200229644775;0.259477823972702;0.001;0.6883000135421753;1.803902506828308
41;0.9633399844169617;0.26104751229286194;0.001;0.659600019454956;2.0158329010009766
42;0.9612799882888794;0.2648810148239136;0.001;0.654699981212616;2.0608627796173096
43;0.9657599925994873;0.25359711050987244;0.001;0.6577000021934509;2.098994731903076
44;0.9654200077056885;0.2549229562282562;0.0003162278;0.6818000078201294;1.866716742515564
45;0.9629799723625183;0.2604427933692932;0.001;0.6478000283241272;2.2796437740325928
46;0.9622600078582764;0.26448702812194824;0.001;0.6794999837875366;1.9813019037246704
47;0.9678599834442139;0.25199657678604126;0.001;0.6671000123023987;1.8711814880371094
48;0.9672799706459045;0.2522105276584625;0.001;0.6571000218391418;2.602118730545044
49;0.9646400213241577;0.2572751045227051;0.0003162278;0.6420999765396118;2.1628782749176025
50;0.9630600214004517;0.2643139362335205;0.001;0.6639000177383423;2.3812882900238037
51;0.9684200286865234;0.2502819001674652;0.001;0.6478999853134155;2.301257371902466
52;0.9698799848556519;0.24558216333389282;0.001;0.6657999753952026;2.070564031600952
53;0.9668800234794617;0.25348833203315735;0.001;0.6234999895095825;2.6957626342773438
54;0.9649199843406677;0.2629116475582123;0.0003162278;0.6098999977111816;2.8151748180389404
55;0.9698799848556519;0.24834634363651276;0.001;0.7013999819755554;1.7847468852996826
56;0.9700000286102295;0.24813494086265564;0.001;0.6730999946594238;2.074876070022583
57;0.970579981803894;0.24528568983078003;0.001;0.6323999762535095;2.4659245014190674
58;0.9653400182723999;0.26117536425590515;0.001;0.6262999773025513;2.605684280395508
59;0.9666799902915955;0.25737717747688293;0.0003162278;0.7163000106811523;1.6453484296798706
60;0.9676200151443481;0.2527284622192383;0.001;0.6858999729156494;1.9391714334487915
61;0.9716399908065796;0.24302507936954498;0.001;0.6625000238418579;2.3056960105895996
62;0.9718000292778015;0.24343359470367432;0.001;0.6802999973297119;1.8766425848007202
63;0.9702000021934509;0.24934710562229156;0.001;0.6876000165939331;1.9641650915145874
64;0.970300018787384;0.2503613233566284;0.0003162278;0.6845999956130981;2.024155855178833
65;0.9691799879074097;0.2533230781555176;0.001;0.6001999974250793;2.995011568069458
66;0.9702399969100952;0.24833574891090393;0.001;0.6776999831199646;2.1588733196258545
67;0.9726399779319763;0.24264410138130188;0.001;0.6779999732971191;2.0462825298309326
68;0.9684600234031677;0.25345075130462646;0.001;0.6960999965667725;1.8949185609817505
69;0.9729200005531311;0.24420008063316345;0.0003162278;0.6067000031471252;3.092060089111328
70;0.9712600111961365;0.24772842228412628;0.001;0.6590999960899353;2.224684000015259
71;0.9728999733924866;0.24408699572086334;0.001;0.6725999712944031;2.2807114124298096
